episode,reward
1650,-112.0
1651,-163.0
1652,-90.0
1653,-113.0
1654,-118.0
1655,-93.0
1656,-117.0
1657,-113.0
1658,-168.0
1659,-86.0
1660,-98.0
1661,-90.0
1662,-95.0
1663,-114.0
1664,-112.0
1665,-114.0
1666,-116.0
1667,-116.0
1668,-118.0
1669,-84.0
1670,-119.0
1671,-114.0
1672,-113.0
1673,-106.0
1674,-115.0
1675,-91.0
1676,-90.0
1677,-111.0
1678,-167.0
1679,-87.0
1680,-120.0
1681,-91.0
1682,-164.0
1683,-162.0
1684,-114.0
1685,-108.0
1686,-115.0
1687,-171.0
1688,-158.0
1689,-109.0
1690,-114.0
1691,-87.0
1692,-111.0
1693,-115.0
1694,-112.0
1695,-162.0
1696,-169.0
1697,-108.0
1698,-110.0
1699,-155.0
1700,-119.0
1701,-116.0
1702,-118.0
1703,-111.0
1704,-92.0
1705,-155.0
1706,-155.0
1707,-92.0
1708,-116.0
1709,-116.0
1710,-111.0
1711,-88.0
1712,-86.0
1713,-104.0
1714,-97.0
1715,-154.0
1716,-115.0
1717,-113.0
1718,-161.0
1719,-109.0
1720,-114.0
1721,-107.0
1722,-117.0
1723,-106.0
1724,-111.0
1725,-88.0
1726,-87.0
1727,-86.0
1728,-113.0
1729,-120.0
1730,-199.0
1731,-145.0
1732,-103.0
1733,-116.0
1734,-89.0
1735,-108.0
1736,-84.0
1737,-118.0
1738,-86.0
1739,-94.0
1740,-158.0
1741,-116.0
1742,-110.0
1743,-117.0
1744,-83.0
1745,-84.0
1746,-124.0
1747,-156.0
1748,-106.0
1749,-117.0
1750,-159.0
1751,-84.0
1752,-95.0
1753,-129.0
1754,-168.0
1755,-110.0
1756,-83.0
1757,-118.0
1758,-86.0
1759,-83.0
1760,-121.0
1761,-89.0
1762,-124.0
1763,-86.0
1764,-157.0
1765,-87.0
1766,-112.0
1767,-119.0
1768,-90.0
1769,-88.0
1770,-118.0
1771,-88.0
1772,-88.0
1773,-108.0
1774,-101.0
1775,-100.0
1776,-117.0
1777,-84.0
1778,-151.0
1779,-117.0
1780,-119.0
1781,-116.0
1782,-117.0
1783,-114.0
1784,-86.0
1785,-95.0
1786,-121.0
1787,-126.0
1788,-124.0
1789,-119.0
1790,-85.0
1791,-88.0
1792,-117.0
1793,-100.0
1794,-85.0
1795,-117.0
1796,-120.0
1797,-167.0
1798,-151.0
1799,-119.0
1800,-161.0
1801,-84.0
1802,-123.0
1803,-91.0
1804,-109.0
1805,-116.0
1806,-113.0
1807,-119.0
1808,-85.0
1809,-120.0
1810,-125.0
1811,-87.0
1812,-115.0
1813,-126.0
1814,-125.0
1815,-114.0
1816,-121.0
1817,-122.0
1818,-116.0
1819,-118.0
1820,-104.0
1821,-102.0
1822,-120.0
1823,-92.0
1824,-98.0
1825,-114.0
1826,-115.0
1827,-123.0
1828,-114.0
1829,-96.0
1830,-117.0
1831,-121.0
1832,-86.0
1833,-87.0
1834,-112.0
1835,-113.0
1836,-115.0
1837,-121.0
1838,-116.0
1839,-116.0
1840,-116.0
1841,-118.0
1842,-116.0
1843,-87.0
1844,-118.0
1845,-86.0
1846,-118.0
1847,-120.0
1848,-92.0
1849,-123.0
1850,-114.0
1851,-117.0
1852,-118.0
1853,-83.0
1854,-115.0
1855,-117.0
1856,-116.0
1857,-117.0
1858,-120.0
1859,-85.0
1860,-119.0
